model,input_size,num_procs,sample_size,m,branching_factor,index_time,search_time,recall,activation_rate
pyramid_v2,512000,256,10240,512,1,76.9444,4.695,0.837963,0.00390625
pyramid_v2,512000,256,10240,512,2,111.703,8.80817,0.893594,0.00751233
pyramid_v2,512000,256,10240,512,4,237.56,20.6621,0.934225,0.0150061
pyramid_v2,512000,256,10240,512,8,483.906,40.3245,0.954682,0.0292754
pyramid_v2,512000,256,10240,512,16,987.006,88.2788,0.957951,0.0571772
pyramid_v2,512000,256,10240,512,32,1897.58,125.186,0.973111,0.115139
pyramid_v2,512000,256,10240,512,64,2012.76,150.413,0.976113,0.210596
