model,input_size,num_procs,sample_size,m,branching_factor,index_time,search_time,recall,activation_rate
pyramid_v2,512000,256,10240,128,8,865.611,61.3964,0.933018,0.03125
pyramid_v2,512000,256,10240,256,8,675.38,59.0151,0.95291,0.03125
pyramid_v2,512000,256,10240,512,8,609.963,38.6992,0.955613,0.0295923
pyramid_v2,512000,256,10240,1024,8,566.994,43.4142,0.949758,0.0282601
pyramid_v2,512000,256,10240,2048,8,635.483,45.5108,0.936705,0.0288767
